"state","date","highest_new_case_num","highest_new_case_rate"
"Massachusetts","2020-04-20",2804,0.00040625028523725
"Michigan","2020-04-20",1824,0.000182474540849937
"Minnesota","2020-04-20",261,4.65142887083089e-05
"Mississippi","2020-04-20",300,0.000100451025102711
"Missouri","2020-04-20",462,7.54106944769991e-05
"Montana","2020-04-20",22,2.07096831889147e-05
"Nebraska","2020-04-20",225,0.000116624543609286
"Nevada","2020-04-20",310,0.000102162146486018
"New Hampshire","2020-04-20",217,0.00015997546551386
"New Jersey","2020-04-20",4287,0.000481224715216444
"New Mexico","2020-04-20",216,0.000103081566152595
"New York","2020-04-20",11434,0.00058509250412786
"North Carolina","2020-04-20",406,3.91000441079315e-05
"North Dakota","2020-04-20",135,0.000177613583886896
"Ohio","2020-04-20",1380,0.000118055250199282
"Oklahoma","2020-04-20",160,4.05774269295644e-05
"Oregon","2020-04-20",156,3.72251690822063e-05
"Pennsylvania","2020-04-20",1778,0.000138829676756414
"Puerto Rico","2020-04-20",109,NA
"Rhode Island","2020-04-20",648,0.000612873174030445
"South Carolina","2020-04-20",376,7.39556663317026e-05
"South Dakota","2020-04-20",180,0.00020402727164531
"Tennessee","2020-04-20",481,7.1048639514565e-05
"Texas","2020-04-20",1431,4.98574220577109e-05
"Utah","2020-04-20",247,7.8137233657218e-05
"Vermont","2020-04-20",51,8.14307543202209e-05
"Virginia","2020-04-20",602,7.06764807573889e-05
"Washington","2020-04-20",584,7.74988982284203e-05
"West Virginia","2020-04-20",105,5.81449437156945e-05
"Wisconsin","2020-04-20",182,3.13060757180444e-05
"Wyoming","2020-04-20",22,3.80796106186725e-05
"Alabama","2020-05-04",395,8.08122800294852e-05
"Alaska","2020-05-04",9,1.22044158288561e-05
"Arizona","2020-05-04",446,6.21893495579676e-05
"Arkansas","2020-05-04",323,0.000107172778777799
"California","2020-05-04",2583,6.52981030306991e-05
"Colorado","2020-05-04",978,0.000171712581932184
"Connecticut","2020-05-04",2109,0.00059031563272795
"Delaware","2020-05-04",458,0.000473546043047196
"District of Columbia","2020-05-04",335,0.000476898876084589
"Florida","2020-05-04",1339,6.28658419926453e-05
"Georgia","2020-05-04",1333,0.000126717350438116
"Hawaii","2020-05-04",6,4.22389159804603e-06
"Idaho","2020-05-04",70,3.99040478666156e-05
"Illinois","2020-05-04",3137,0.00024621146715977
"Indiana","2020-05-04",949,0.000141813703118915
"Iowa","2020-05-04",759,0.000240483247759529
"Kansas","2020-05-04",574,0.000197148897219823
"Kentucky","2020-05-04",300,6.71380954533634e-05
"Louisiana","2020-05-04",710,0.000152361234323424
"Maine","2020-05-04",50,3.73579278005744e-05
"Maryland","2020-05-04",1730,0.000286295008305865
"Massachusetts","2020-05-04",4973,0.00072050023840401
"Michigan","2020-05-04",1485,0.000148560687040656
"Minnesota","2020-05-04",594,0.000105860105336151
"Mississippi","2020-05-04",397,0.000132930189885921
"Missouri","2020-05-04",286,4.66828108667137e-05
"Montana","2020-05-04",4,3.76539694343903e-06
"Nebraska","2020-05-04",727,0.000376826858684226
"Nevada","2020-05-04",195,6.42632856928175e-05
"New Hampshire","2020-05-04",164,0.000120903116793885
"New Jersey","2020-05-04",4111,0.000461468347155308
"New Mexico","2020-05-04",239,0.000114057844029955
"New York","2020-05-04",10553,0.000540010599620544
"North Carolina","2020-05-04",574,5.5279372704317e-05
"North Dakota","2020-05-04",75,9.86742132704976e-05
"Ohio","2020-05-04",1317,0.000112665771385837
"Oklahoma","2020-05-04",145,3.67732931549178e-05
"Oregon","2020-05-04",79,1.88512074198352e-05
"Pennsylvania","2020-05-04",2297,0.000179354199949091
"Puerto Rico","2020-05-04",182,NA
"Rhode Island","2020-05-04",443,0.000418985827307851
"South Carolina","2020-05-04",322,6.33343738266176e-05
"South Dakota","2020-05-04",107,0.000121282878144712
"Tennessee","2020-05-04",1156,0.000170753071265774
"Texas","2020-05-04",1358,4.73140315544175e-05
"Utah","2020-05-04",190,6.01055643517061e-05
"Vermont","2020-05-04",16,2.55469033161477e-05
"Virginia","2020-05-04",1055,0.000123859945513364
"Washington","2020-05-04",366,4.85695149856196e-05
"West Virginia","2020-05-04",45,2.49192615924405e-05
"Wisconsin","2020-05-04",460,7.9125246320332e-05
"Wyoming","2020-05-04",126,0.000218092315361488
"Alabama","2020-05-05",395,8.08122800294852e-05
"Alaska","2020-05-05",9,1.22044158288561e-05
"Arizona","2020-05-05",446,6.21893495579676e-05
"Arkansas","2020-05-05",323,0.000107172778777799
"California","2020-05-05",2583,6.52981030306991e-05
"Colorado","2020-05-05",978,0.000171712581932184
"Connecticut","2020-05-05",2109,0.00059031563272795
"Delaware","2020-05-05",458,0.000473546043047196
"District of Columbia","2020-05-05",335,0.000476898876084589
"Florida","2020-05-05",1339,6.28658419926453e-05
"Georgia","2020-05-05",1333,0.000126717350438116
"Hawaii","2020-05-05",6,4.22389159804603e-06
"Idaho","2020-05-05",70,3.99040478666156e-05
"Illinois","2020-05-05",3137,0.00024621146715977
"Indiana","2020-05-05",949,0.000141813703118915
"Iowa","2020-05-05",759,0.000240483247759529
"Kansas","2020-05-05",574,0.000197148897219823
"Kentucky","2020-05-05",577,0.000129128936921969
"Louisiana","2020-05-05",710,0.000152361234323424
"Maine","2020-05-05",50,3.73579278005744e-05
"Maryland","2020-05-05",1730,0.000286295008305865
"Massachusetts","2020-05-05",4973,0.00072050023840401
"Michigan","2020-05-05",1485,0.000148560687040656
"Minnesota","2020-05-05",617,0.00010995906564378
"Mississippi","2020-05-05",397,0.000132930189885921
"Missouri","2020-05-05",286,4.66828108667137e-05
"Montana","2020-05-05",4,3.76539694343903e-06
"Nebraska","2020-05-05",727,0.000376826858684226
"Nevada","2020-05-05",195,6.42632856928175e-05
"New Hampshire","2020-05-05",164,0.000120903116793885
"New Jersey","2020-05-05",4111,0.000461468347155308
"New Mexico","2020-05-05",239,0.000114057844029955
"New York","2020-05-05",10553,0.000540010599620544
"North Carolina","2020-05-05",574,5.5279372704317e-05
"North Dakota","2020-05-05",75,9.86742132704976e-05
"Ohio","2020-05-05",806,6.89511098990012e-05
"Oklahoma","2020-05-05",145,3.67732931549178e-05
"Oregon","2020-05-05",80,1.90898302985673e-05
"Pennsylvania","2020-05-05",2297,0.000179354199949091
"Puerto Rico","2020-05-05",182,NA
"Rhode Island","2020-05-05",443,0.000418985827307851
"South Carolina","2020-05-05",322,6.33343738266176e-05
"South Dakota","2020-05-05",107,0.000121282878144712
"Tennessee","2020-05-05",1156,0.000170753071265774
"Texas","2020-05-05",1358,4.73140315544175e-05
"Utah","2020-05-05",190,6.01055643517061e-05
"Vermont","2020-05-05",16,2.55469033161477e-05
"Virginia","2020-05-05",1055,0.000123859945513364
"Washington","2020-05-05",366,4.85695149856196e-05
"West Virginia","2020-05-05",45,2.49192615924405e-05
"Wisconsin","2020-05-05",460,7.9125246320332e-05
"Wyoming","2020-05-05",126,0.000218092315361488
"Alabama","2020-05-06",395,8.08122800294852e-05
"Alaska","2020-05-06",9,1.22044158288561e-05
"Arizona","2020-05-06",446,6.21893495579676e-05
"Arkansas","2020-05-06",323,0.000107172778777799
"California","2020-05-06",2583,6.52981030306991e-05
"Colorado","2020-05-06",978,0.000171712581932184
"Connecticut","2020-05-06",2109,0.00059031563272795
"Delaware","2020-05-06",458,0.000473546043047196
"District of Columbia","2020-05-06",335,0.000476898876084589
"Florida","2020-05-06",1339,6.28658419926453e-05
"Georgia","2020-05-06",1333,0.000126717350438116
"Hawaii","2020-05-06",6,4.22389159804603e-06
"Idaho","2020-05-06",70,3.99040478666156e-05
"Illinois","2020-05-06",3137,0.00024621146715977
"Indiana","2020-05-06",949,0.000141813703118915
"Iowa","2020-05-06",759,0.000240483247759529
"Kansas","2020-05-06",574,0.000197148897219823
"Kentucky","2020-05-06",577,0.000129128936921969
"Louisiana","2020-05-06",710,0.000152361234323424
"Maine","2020-05-06",50,3.73579278005744e-05
"Maryland","2020-05-06",1730,0.000286295008305865
"Massachusetts","2020-05-06",4973,0.00072050023840401
"Michigan","2020-05-06",1485,0.000148560687040656
"Minnesota","2020-05-06",728,0.000129741004519728
"Mississippi","2020-05-06",397,0.000132930189885921
"Missouri","2020-05-06",286,4.66828108667137e-05
"Montana","2020-05-06",3,2.82404770757927e-06
"Nebraska","2020-05-06",727,0.000376826858684226
"Nevada","2020-05-06",195,6.42632856928175e-05
"New Hampshire","2020-05-06",164,0.000120903116793885
"New Jersey","2020-05-06",4111,0.000461468347155308
"New Mexico","2020-05-06",239,0.000114057844029955
"New York","2020-05-06",10553,0.000540010599620544
"North Carolina","2020-05-06",574,5.5279372704317e-05
"North Dakota","2020-05-06",75,9.86742132704976e-05
"Ohio","2020-05-06",724,6.19362327132467e-05
"Oklahoma","2020-05-06",145,3.67732931549178e-05
"Oregon","2020-05-06",80,1.90898302985673e-05
"Pennsylvania","2020-05-06",2297,0.000179354199949091
"Puerto Rico","2020-05-06",182,NA
"Rhode Island","2020-05-06",443,0.000418985827307851
"South Carolina","2020-05-06",322,6.33343738266176e-05
"South Dakota","2020-05-06",107,0.000121282878144712
"Tennessee","2020-05-06",1156,0.000170753071265774
"Texas","2020-05-06",1358,4.73140315544175e-05
"Utah","2020-05-06",190,6.01055643517061e-05
"Vermont","2020-05-06",16,2.55469033161477e-05
"Virginia","2020-05-06",1055,0.000123859945513364
"Washington","2020-05-06",366,4.85695149856196e-05
"West Virginia","2020-05-06",45,2.49192615924405e-05
"Wisconsin","2020-05-06",460,7.9125246320332e-05
