"state","date","highest_new_case_num","highest_new_case_rate"
"California","2020-04-20",2318,5.85989170829115e-05
"Colorado","2020-04-20",547,9.60396547207616e-05
"Connecticut","2020-04-20",1853,0.000518660439755757
"Delaware","2020-04-20",248,0.000256417944706779
"DistrictofColumbia","2020-04-20",229,0.000325999530219018
"Florida","2020-04-20",1413,6.63401304970932e-05
"Georgia","2020-04-20",1598,0.000151908721680502
"Idaho","2020-04-20",134,7.63877487732356e-05
"Illinois","2020-04-20",1841,0.000144493245470557
"Indiana","2020-04-20",616,9.20518873775045e-05
"Iowa","2020-04-20",402,0.000127370573912162
"Kansas","2020-04-20",150,5.15197466602324e-05
"Kentucky","2020-04-20",253,5.66197938323365e-05
"Louisiana","2020-04-20",1853,0.000397641362255358
"Maine","2020-04-20",65,4.85653061407467e-05
"Maryland","2020-04-20",1158,0.000191635618276411
"Massachusetts","2020-04-20",2615,0.000378867509235167
"Michigan","2020-04-20",1722,0.000172270372447145
"Minnesota","2020-04-20",194,3.45738391165208e-05
"Mississippi","2020-04-20",300,0.000100451025102711
"Missouri","2020-04-20",355,5.7945447054837e-05
"Montana","2020-04-20",22,2.07096831889147e-05
"Nebraska","2020-04-20",173,8.96713157529177e-05
"Nevada","2020-04-20",217,7.15135025402123e-05
"NewHampshire","2020-04-20",76,5.60282736361907e-05
"NewJersey","2020-04-20",4287,0.000481224715216444
"NewMexico","2020-04-20",126,6.01309135890138e-05
"NewYork","2020-04-20",11755,0.000601518487495452
"NorthCarolina","2020-04-20",404,3.89074330532127e-05
"NorthDakota","2020-04-20",89,0.000117093399747657
"Ohio","2020-04-20",1380,0.000118055250199282
"Oklahoma","2020-04-20",160,4.05774269295644e-05
"Oregon","2020-04-20",82,1.95670760560315e-05
"Pennsylvania","2020-04-20",1965,0.000153430998215047
"RhodeIsland","2020-04-20",384,0.000363184103129153
"SouthCarolina","2020-04-20",275,5.40899155351548e-05
"SouthDakota","2020-04-20",181,0.000205160756487784
"Tennessee","2020-04-20",346,5.11077531643232e-05
"Texas","2020-04-20",1475,5.13904245528467e-05
"Utah","2020-04-20",142,4.49210007260119e-05
"Vermont","2020-04-20",51,8.14307543202209e-05
"Virginia","2020-04-20",601,7.05590779654331e-05
"Washington","2020-04-20",511,6.78115359498678e-05
"WestVirginia","2020-04-20",70,3.8763295810463e-05
"Wisconsin","2020-04-20",183,3.14780871230886e-05
"Wyoming","2020-04-20",73,0.000126355071598322
"Alabama","2020-05-04",317,6.48544120742957e-05
"Arizona","2020-05-04",446,6.21893495579676e-05
"Arkansas","2020-05-04",291,9.65550421806177e-05
"California","2020-05-04",2334,5.90033962344761e-05
"Colorado","2020-05-04",993,0.000174346210489427
"Connecticut","2020-05-04",2109,0.00059031563272795
"Delaware","2020-05-04",458,0.000473546043047196
"DistrictofColumbia","2020-05-04",335,0.000476898876084589
"Florida","2020-05-04",1339,6.28658419926453e-05
"Georgia","2020-05-04",1131,0.000107514871226939
"Idaho","2020-05-04",64,3.648370090662e-05
"Illinois","2020-05-04",3137,0.00024621146715977
"Indiana","2020-05-04",950,0.000141963138001022
"Iowa","2020-05-04",758,0.000240166405535867
"Kansas","2020-05-04",494,0.000169671699001032
"Kentucky","2020-05-04",342,7.65374288168343e-05
"Louisiana","2020-05-04",710,0.000152361234323424
"Maine","2020-05-04",39,2.9139183684448e-05
"Maryland","2020-05-04",1741,0.000288115381191047
"Massachusetts","2020-05-04",4946,0.000716588413260855
"Michigan","2020-05-04",1375,0.000137556191704311
"Minnesota","2020-05-04",594,0.000105860105336151
"Mississippi","2020-05-04",397,0.000132930189885921
